season,date,site,latitude,longitude,instrument,discharge_m3_s,velocity_m_s,depth_m,width_m,notes
sp22,05/17/22,2,43.29324,-121.95667,swoffer,1.890132,0.969,0.477,4.09,
sp22,05/17/22,37,43.28931,-121.92989,swoffer,3.1129425,0.654,0.73,6.56,
sp22,05/17/22,10,43.29704,-121.89102,swoffer,3.405475,0.442,0.99,7.78,
sp22,05/18/22,23,43.32885,-121.84604,swoffer,4.834091,1.23,0.485,8.1,
sp22,05/20/22,44Q,43.28817,-121.91671,swoffer,5.588354167,1.09,1.14,4.5,
sp22,05/20/22,49,43.29376,-121.89939,swoffer,7.307767,0.91,0.75,10.71,
sp22,05/21/22,53,43.28555,-121.93902,swoffer,1.130535,0.78,0.54,2.79,
sp22,05/21/22,22,43.30031,-121.87805,swoffer,4.7444675,0.8433,0.826,6.38,
sp22,05/27/22,2,43.29324,-121.95667,sontek,0.877,0.4,0.551,3.95,
sp22,05/27/22,37,43.28931,-121.92989,sontek,1.52,0.284,0.79,6.77,
sp22,05/27/22,23,43.32885,-121.84604,sontek,2.017,0.472,0.582,7.34,
sp23,06/12/23,2,43.29324,-121.95667,sontek,0.57,0.21,0.674,4.02,
sp23,06/12/23,75,43.2893,-121.93092,sontek,1.36,0.33,0.563,7.3,bottom has vegetation coarse gravel and downed logs. medium to poor quality measurement due to downed logs
sp23,06/13/23,23,43.32885,-121.84604,sontek,2.03,0.63,0.455,7.12,
sp23,06/06/23,23,43.32885,-121.84604,sontek,2.92,0.79,0.523,7.1,"removed logs prior to measurement, some unsteady flow conditions. bed consists of sand, fist sized cobbles and larger including someboulders ~2 m in diameter"
sp23,06/07/23,75,43.2893,-121.93092,sontek,1.51,0.31,0.627,7.7,
fa22,07/19/22,23,43.32885,-121.84604,swoffer,0.739,0.301,0.32,6.96,
fa22,07/19/22,79,43.27782,-121.96446,swoffer,0.0116,0.23,0.04,1.26,one velocity and depth measurement
fa22,07/19/22,80,43.27762,-121.96436,swoffer,0.04452,0.54,0.06,1.4,one velocity and depth measurement
fa22,07/20/22,10,43.29704,-121.89102,swoffer,0.6044,0.116,0.877,6.15,
fa22,07/20/22,44Q,43.28817,-121.91671,swoffer,0.4859,0.115,0.97,3.85,
fa22,07/20/22,9,43.29267,-121.90694,swoffer,0.4893,0.1,0.599,6.81,
fa22,07/21/22,2,43.29324,-121.95667,swoffer,0.154,0.102,0.345,3.77,
fa22,07/21/22,78,43.29319,-121.98904,swoffer,0.0436,0.144,0.17,1.78,
fa22,07/21/22,75,43.2893,-121.93092,swoffer,0.328,0.17,0.299,5.99,
fa22,07/22/22,53,43.28555,-121.93902,swoffer,0.2166,0.203,0.399,2.67,
fa22,07/22/22,81,43.27795,-121.9641,swoffer,0.0462,0.162,0.207,1.22,
fa21,08/13/21,19,43.28815,-121.91452,swoffer,0.843,0.31,0.426,6.38,
fa21,08/15/21,21,43.3076,-121.86453,swoffer,1.323,0.297,0.766,4.76,
fa21,08/16/21,24,43.28495,-121.93915,swoffer,0.385,0.504,0.343,2.23,
fa21,08/16/21,27,43.29302,-121.94202,swoffer,0.0326,0.036,0.332,7.12,"only four measurements, one accounted for >50% of flow "
fa21,08/16/21,30,43.28937,-121.93031,swoffer,0.767,0.349,0.355,5.43,
fa21,08/17/21,7,43.31962,-121.85446,swoffer,0.86482,0.383,0.39,5.41,
fa21,08/17/21,9,43.29267,-121.90694,swoffer,0.92045,0.288,0.478,6.34,
fa21,08/17/21,10,43.29704,-121.89102,swoffer,0.79608,0.2625,0.59,5.14,
fa21,08/17/21,22,43.30031,-121.87805,swoffer,0.997785,0.568,0.285,5.3,
fa21,08/17/21,23,43.32906,-121.84604,swoffer,1.265,0.999,0.21,5.53,
