,sample_name,site_id,sample_type,date,time,datetime,description,latitude,longitude,temperature_deg_C,pH,Conductivity_uS_cm,DO_percent,Alkalinity_meq_L,DOC_mg_L,DIC_mg_L,d13C_permil,pCO2_ppmv,Rn_bq_m3,Rn_sterror,pCO2_calc_dic_ph,u_pCO2_calc_dic_ph,alk_calc_dic_ph,u_alk_calc_dic_ph,dic_calc_alk_ph,u_dic_calc_alk_ph,pCO2_calc_alk_ph,u_pCO2_calc_alk_ph,dic_calc_pco2_ph,u_dic_calc_pco2_ph,alk_calc_pco2_ph,u_alk_calc_pco2_ph,pH_calc_dic_alk,u_pH_calc_dic_alk,pCO2_calc_dic_alk,u_pCO2_calc_dic_alk,pH_calc_dic_pco2,u_pH_calc_dic_pco2,alk_calc_dic_pco2,u_alk_calc_dic_pco2,ph_calc_alk_pco2,u_ph_calc_alk_pco2,dic_calc_alk_pco2,u_dic_calc_alk_pco2,KHenry,CO2_calc_alk_ph,CO2_calc_alk_pco2,bicarb_calc_alk_ph,bicarb_calc_alk_pco2,carb_calc_alk_ph,carb_calc_alk_pco2,pco2,CO2_calc,bicarb_calc,carb_calc,dic_calc,dic_calc_u,e_bg,e_dg,e_db,e_cg,e_cb,d13c_bicarb,d13c_co2,d13c_carb,value,label,next_stream,stream,strahler,topo,distance,elev_ft,area_10m2,wetland,elev_m
0,ER22-2P,2,P,05/17/22,01:16:00 PM,2022-05-17 13:16:00,small area of ponded water,43.29324,-121.95667,6.1,6.4,,,0.375430988,13.21,35.44386429,-22.64461927,,,,26984.97600130588,2776.8023092814565,1299.2166526328792,169.3397762330188,854.144485736804,139.5013482093301,7803.574100386697,1960.468871384516,,,,,5.670838723616826,0.0499924468405827,42025.41032959471,1058.9077102210836,,,,,,,,,0.0615478717272548,0.4783477545488656,,0.3757695302110335,,2.7200976904872867e-05,,7803.574100386697,0.4783477545488656,0.3757695302110335,2.7200976904872867e-05,854.144485736804,854.144485736804,10.08399,-1.28011,-11.3641,6.9028,-3.297102714437135,-16.38453820908412,-28.73727410908412,-20.678343820806816,,,,,,,,,,,
1,ER22-38,38,SP,05/18/22,03:01:00 PM,2022-05-18 15:01:00,"spring near trailhead, someones ashes were dispersed here",43.29124,-121.924,6.0,7.07,,,0.4805190206,0.3763,10.35252743,-15.47571383,,,,3005.2065622091777,546.5129282696607,677.9958849554987,35.6970802913001,611.4553860589508,68.21587730044764,2129.9723196377045,535.0422449553563,,,,,6.605676602508947,0.0994502207886599,6209.420795349718,819.6069429211327,,,,,,,,,0.0617712048943792,0.1310372731055038,,0.4802560173329437,,0.0001620956205032,,2129.9723196377045,0.1310372731055038,0.4802560173329437,0.0001620956205032,611.4553860589508,611.4553860589508,10.0954,-1.2806,-11.376,6.908,-3.3035667837317337,-13.068789031926055,-25.43341303192605,-17.369052248874056,,,,,,,,,,,
2,ER22-39,39,SP,05/18/22,03:47:00 PM,2022-05-18 15:47:00,bigger spring near trailhead,43.29202,-121.92377,4.4,6.93,,,0.458080721,0.36785,13.35490182,-16.44164003,,705.73,25.42,4808.858807238368,799.999973183634,799.283095349125,53.92256251423896,637.8849346450033,76.0792294959952,2756.290051982393,692.27445419596,,,,,6.369393181066926,0.0748418713043307,10031.86467547441,765.1791699898433,,,,,,,,,0.0655069142888327,0.1798080354183107,,0.4579705060676537,,0.0001063931590388,,2756.290051982393,0.1798080354183107,0.4579705060676537,0.0001063931590388,637.8849346450033,637.8849346450033,10.27796,-1.28844,-11.5664,6.9912,-3.407030088495575,-13.223838188825694,-25.778671788825694,-17.627461247232773,,,,,,,,,,,
3,ER22-3A,3A,SP,05/23/22,12:05:00 PM,2022-05-23 12:05:00,highest spring above 3,43.29652,-121.9497,7.5,7.38,,,0.6296163878,,11.89513909,-15.07325505,,,,1938.0521552722576,397.1669160278192,878.9094733263224,28.124054258497026,710.0964419236316,73.45608717900996,1388.3357858789925,348.9577785412338,,,,,6.7306264458287535,0.1207664260136155,6201.312199257532,1120.7786729290738,,,,,,,,,0.0585388234208961,0.0809483119621648,,0.6286942850165163,,0.0004538449449505,,1388.3357858789925,0.0809483119621648,0.6286942850165163,0.0004538449449505,710.0964419236316,710.0964419236316,9.92425,-1.27325,-11.197499999999998,6.83,-3.206635222908517,-13.81239233739994,-25.99869483739994,-18.01582092508555,,,,,,,,,,,
4,ER22-3B,3B,FSP,05/23/22,12:28:00 PM,2022-05-23 12:28:00,false spring after 3A disappears underground,43.29622,-121.94956,7.3,7.4,,,,,10.84643046,-14.17154872,,,,1691.6431803572125,348.27077553242617,805.156922561261,25.145502918813804,,,,,,,,,,,,,,,,,,,,,0.0589555983078435,,,,,,,,,,,,,9.94707,-1.27423,-11.2213,6.8404,-3.219555781814475,,,,,,,,,,,,,,
5,ER22-45,45,P,05/20/22,12:11:00 PM,2022-05-20 12:11:00,ponded/slightly flowing/ tea colored,43.28802,-121.91748,10.7,6.2,,,,23.07,11.41441899,-22.27419907,,,,11735.02870914071,984.57762419518,337.88771721801515,50.72986039828493,,,,,,,,,,,,,,,,,,,,,0.0524116434651234,,,,,,,,,,,,,9.55913,-1.25757,-10.8167,6.6636,-3.00005889921514,,,,,,,,,,,,,,
6,ER22-51,51,SP,05/20/22,04:13:00 PM,2022-05-20 16:13:00,spring river right downstream of fish camp at site 49,43.29379,-121.89967,5.1,6.57,,,0.2567183568,0.628,8.852644476,-20.12805484,,,,5441.47056363812,672.6576098764215,391.5729322382126,42.96666298548258,483.8254051031523,71.26488294550187,3568.725761365265,896.6123142628859,,,,,6.244693502370206,0.0673738686908124,7557.536005030879,453.2644101538762,,,,,,,,,0.0638341492192283,0.2268715009148254,,0.2569272540479245,,2.665014040238076e-05,,3568.725761365265,0.2268715009148254,0.2569272540479245,2.665014040238076e-05,483.8254051031523,483.8254051031523,10.19809,-1.28501,-11.4831,6.9548,-3.3617560447170893,-14.8231259617433,-27.2947428617433,-19.181520250415677,,,,,,,,,,,
7,ER22-52,52,SP,05/21/22,12:14:00 PM,2022-05-21 12:14:00,spring going into south fork of deschutes,43.2849,-121.93928,7.0,6.75,,,0.1581947374,0.476,7.023974313,-17.65200115,,,,3523.6731889665302,525.381736173402,376.0977637545093,31.74772481267765,246.35173419706504,31.93069090096434,1483.0287734492292,372.6765723109585,,,,,6.066870993616878,0.0598265295556086,7182.57029735804,318.39981221326616,,,,,,,,,0.0595887914442047,0.0880181126605821,,0.1583072390232238,,2.6382513259105836e-05,,1483.0287734492292,0.0880181126605821,0.1583072390232238,2.6382513259105836e-05,246.35173419706504,246.35173419706504,9.9813,-1.2757,-11.257,6.856,-3.2389387252299127,-13.684726145994633,-25.930469145994632,-17.920425932499313,,,,,,,,,,,
8,ER22-54,54,FSP,05/26/22,03:59:00 PM,2022-05-26 15:59:00,"middle ""false spring"" - 55 flows and disappears underground, comes up as 54",43.29676,-121.90181,5.5,7.64,,,0.5539858643,,10.63725711,-13.82444909,,,,978.4774955764044,210.69747330776,826.2170961956725,20.036719135416146,594.3426779653116,60.22223805684772,656.0536375524401,165.0481205743286,,,,,6.733360908092839,0.1174791389611204,5305.196627490642,918.8902930141924,,,,,,,,,0.0629053732252378,0.0411007941110461,,0.5525598396372293,,0.0006820442170361,,656.0536375524401,0.0411007941110461,0.5525598396372293,0.0006820442170361,594.3426779653116,594.3426779653116,10.15245,-1.28305,-11.4355,6.934,-3.3358913424465486,-13.04017982272152,-25.46424432272152,-17.372735273825622,,,,,,,,,,,
9,ER22-55,55,SP,05/26/22,03:15:00 PM,2022-05-26 15:15:00,highest spring above closed road,43.29734,-121.902,5.5,7.36,,,0.5669270533,0.3859,11.70746239,-14.99672668,,,,1932.1047827901325,391.4541922209977,855.1324502121045,29.010640056950404,646.8075693613736,67.30407190110151,1280.9265987909478,321.91949814882605,,,,,6.653801323328467,0.1051897753634842,6521.364741356386,946.0811768853858,,,,,,,,,0.0629053732252378,0.0802481647761023,,0.5661926315265453,,0.0003667730587259,,1280.9265987909478,0.0802481647761023,0.5661926315265453,0.0003667730587259,646.8075693613736,646.8075693613736,10.15245,-1.28305,-11.4355,6.934,-3.3358913424465486,-13.595369240121473,-26.01943374012147,-17.927924691225574,,,,,,,,,,,
