cat,value,label,next_stream,stream,strahler,topo,distance,elev_ft,area_10m2,wetland,longitude,latitude
1,99,,-1,99,4,1,0,4854.884,468678,1,-121.84439781577,43.3296222694387
2,99,,-1,99,4,1,82.4264095088228,4858.53,462358,1,-121.845258864983,43.3295219411734
3,99,,-1,99,4,1,72.426409188829,4857.69,462367,1,-121.845135569532,43.3295234159968
4,99,,-1,99,4,1,62.4264088688351,4857.59,462370,1,-121.845012274076,43.329524890685
5,99,,-1,99,4,1,52.4264085488412,4857.006,462373,1,-121.844888978613,43.329526365238
6,99,,-1,99,4,1,14.1421360762706,4856.444,468676,1,-121.844519092188,43.3295307880862
7,99,,-1,99,4,1,124.85281773766,4859.547,462297,1,-121.845626730385,43.3294275085753
8,99,,-1,99,4,1,96.5685455850934,4858.686,462348,1,-121.845380139884,43.3294304588934
9,99,,-1,99,4,1,38.2842724725706,4856.444,462391,1,-121.844763663526,43.3294378323232
10,99,,-1,99,4,1,28.2842721525412,4856.444,468673,1,-121.844640368236,43.3294393066037
11,99,,-1,99,4,1,138.99495381393,4860.046,462283,1,-121.845748004534,43.3293360258994
12,99,,-1,99,4,1,110.710681661389,4858.818,462344,1,-121.845501414415,43.3293389764834
13,99,,-1,99,4,1,153.137089890201,4860.466,462273,1,-121.845869278312,43.3292445430937
14,99,,-1,99,4,1,167.279225966497,4860.888,462247,1,-121.84599055172,43.329153060158
15,99,,-1,99,4,1,177.279226286491,4860.917,462213,1,-121.845988530275,43.3290630528508
16,99,,-1,99,4,1,187.279226606484,4861.284,462210,1,-121.845986508836,43.3289730455444
17,99,,-1,99,4,1,197.279226926478,4861.393,462196,1,-121.845984487403,43.3288830382388
18,99,,-1,99,4,1,207.279227246472,4862.169,462085,1,-121.845982465977,43.328793030934
19,99,,-1,99,4,1,217.279227566502,4863.585,462081,1,-121.845980444556,43.32870302363
20,99,,-1,99,4,1,231.421363642797,4863.585,462056,1,-121.846101716699,43.3286115405796
21,99,,-1,99,4,1,245.563499719093,4863.813,462007,1,-121.845976401733,43.3285230090244
22,99,,-1,99,4,1,259.705635795389,4865.199,461843,1,-121.846097673518,43.3284315259801
23,99,,-1,99,4,1,273.847771871659,4866.351,461841,1,-121.846218944932,43.3283400428058
24,99,,-1,99,4,1,283.847772191653,4866.351,461840,1,-121.846216923172,43.3282500355103
25,99,,-1,99,4,1,297.989908267949,4867.023,461831,1,-121.846338194037,43.3281585522092
26,99,,-1,99,4,1,307.989908587943,4867.023,461827,1,-121.846336172104,43.3280685449175
27,99,,-1,99,4,1,317.989908907937,4867.023,461736,1,-121.846334150176,43.3279785376266
28,99,,-1,99,4,1,332.132044984207,4867.593,461726,1,-121.846455420314,43.3278870542017
29,99,,-1,99,4,1,346.274181060478,4868.077,461724,1,-121.84657669008,43.3277955706468
30,99,,-1,99,4,1,360.416317136748,4868.27,461711,1,-121.846697959477,43.3277040869621
31,99,,-1,99,4,1,374.558453213069,4869.839,461670,1,-121.846819228503,43.3276126031474
32,99,,-1,99,4,1,388.70058928934,4869.839,461666,1,-121.84694049716,43.3275211192029
33,99,,-1,99,4,1,402.842725365611,4870.744,461583,1,-121.847061765446,43.3274296351285
34,99,,-1,99,4,1,416.984861441881,4871.129,461570,1,-121.847183033362,43.3273381509242
35,99,,-1,99,4,1,426.984861761875,4872.662,461560,1,-121.847181010187,43.3272481436553
36,99,,-1,99,4,1,436.984862081869,4872.662,461559,1,-121.847178987019,43.3271581363873
37,99,,-1,99,4,1,446.984862401898,4872.662,461479,1,-121.847176963857,43.32706812912
38,99,,-1,99,4,1,461.126998478169,4872.662,461434,1,-121.84705165053,43.3269795987771
39,99,,-1,99,4,1,475.26913455444,4874.429,461228,1,-121.846926337573,43.3268910682953
40,99,,-1,99,4,1,485.269134874433,4875.698,461227,1,-121.846924314799,43.3268010610261
41,99,,-1,99,4,1,495.269135194427,4875.793,461226,1,-121.846922292031,43.3267110537576
42,99,,-1,99,4,1,505.269135514457,4875.905,461223,1,-121.84692026927,43.3266210464899
43,99,,-1,99,4,1,519.411271590727,4876.908,461212,,-121.847041535766,43.3265295624458
44,99,,-1,99,4,1,533.553407666998,4877.713,461202,,-121.847162801892,43.3264380782719
45,99,,-1,99,4,1,547.695543743269,4877.908,461196,,-121.847284067647,43.326346593968
46,99,,-1,99,4,1,561.837679819539,4879.88,461097,,-121.847405333033,43.3262551095343
47,99,,-1,99,4,1,575.979815895835,4879.88,461095,,-121.847526598048,43.3261636249707
48,99,,-1,99,4,1,600.121952292125,4881.129,460845,,-121.847771150983,43.3260706627003
49,99,,-1,99,4,1,590.121951972131,4880.389,460899,,-121.847647862693,43.3260721402772
50,99,,-1,99,4,1,614.264088368395,4882.102,460843,,-121.847892415067,43.325979177744
51,99,,-1,99,4,1,624.264088688389,4883.898,460837,,-121.847890390873,43.3258891705006
52,99,,-1,99,4,1,638.40622476466,4883.898,460829,,-121.848011654408,43.3257976854174
53,99,,-1,99,4,1,672.548361480954,4884.635,460753,,-121.848379492616,43.325703243852
54,99,,-1,99,4,1,662.54836116096,4884.635,460821,,-121.848256205097,43.3257047220958
55,99,,-1,99,4,1,652.54836084093,4884.635,460825,,-121.848132917572,43.3257062002044
56,99,,-1,99,4,1,686.690497557224,4885.998,460702,,-121.848500755028,43.3256117582432
57,99,,-1,99,4,1,710.832633953514,4886.409,460680,,-121.8487453042,43.3255187938598
58,99,,-1,99,4,1,700.83263363352,4886.409,460697,,-121.84862201707,43.3255202725046
59,99,,-1,99,4,1,724.97477002981,4886.857,460658,,-121.848866565681,43.3254273078583
60,99,,-1,99,4,1,739.11690610608,4887.463,460452,,-121.848987826791,43.325335821727
61,99,,-1,99,4,1,753.259042182351,4889.05,460368,,-121.849109087532,43.3252443354659
62,99,,-1,99,4,1,767.401178258621,4890.665,460362,,-121.849230347902,43.3251528490748
63,99,,-1,99,4,1,781.543314334892,4892.14,460333,,-121.849351607902,43.3250613625539
64,99,,-1,99,4,1,795.685450411188,4892.14,460331,,-121.849472867531,43.3249698759031
65,99,,-1,99,4,1,805.685450731182,4892.736,460282,,-121.849470840998,43.3248798686976
66,99,,-1,99,4,1,815.685451051176,4892.791,460280,,-121.849468814472,43.324789861493
67,99,,-1,99,4,1,825.685451371169,4892.791,460277,,-121.849466787951,43.3246998542892
68,99,,-1,99,4,1,835.685451691163,4893.281,459927,,-121.849464761437,43.3246098470862
69,99,,-1,99,4,1,849.827587767459,4894.469,459915,,-121.84933944987,43.3245213193152
70,99,,-1,99,4,1,859.827588087453,4894.469,459913,,-121.849337423553,43.3244313121116
71,99,,-1,99,4,1,869.827588407447,4894.469,459907,,-121.849335397241,43.3243413049088
72,99,,-1,99,4,1,879.827588727441,4895.744,459898,,-121.849333370936,43.3242512977068
73,99,,-1,99,4,1,893.969724803711,4895.744,459894,,-121.849208060313,43.3241627697927
74,99,,-1,99,4,1,903.969725123705,4895.744,459890,,-121.849206034205,43.3240727625901
75,99,,-1,99,4,1,913.969725443699,4895.761,459883,,-121.849204008103,43.3239827553883
76,99,,-1,99,4,1,923.969725763728,4896.917,459800,,-121.849201982008,43.3238927481873
77,99,,-1,99,4,1,938.111861839999,4896.917,459782,,-121.849323239502,43.323801261709
78,99,,-1,99,4,1,948.111862159993,4896.917,459774,,-121.849321213233,43.3237112545119
79,99,,-1,99,4,1,958.111862479987,4897.329,459758,,-121.849319186971,43.3236212473156
80,99,,-1,99,4,1,1002.25399951627,4900.243,458629,,-121.849810292768,43.323525321683
