,down
1,6
2,6
3,24
4,79
5,45
6,56
7,18
8,44
9,54
10,39
11,87
12,18
13,79
14,72
15,24
16,21
17,31
18,21
19,86
20,52
21,57
22,31
23,39
24,44
25,67
26,45
27,66
28,65
29,81
30,66
31,77
32,60
33,68
34,85
35,64
36,62
37,76
38,70
39,68
40,74
41,61
42,58
43,58
44,60
45,52
46,59
47,59
48,67
49,69
50,62
51,64
52,54
53,77
54,56
55,71
56,57
57,75
58,61
59,73
60,69
61,97
62,65
63,73
64,78
65,70
66,78
67,83
68,71
69,91
70,76
71,72
72,75
73,74
74,80
75,88
76,82
77,84
78,80
79,85
80,81
81,82
82,83
83,84
84,91
85,86
86,87
87,88
88,92
89,92
90,93
91,93
92,94
93,94
94,96
95,96
96,97
97,99
98,99
99,
