,Units,Mean,Range
k$_{600}$ power-law a,-,1034.0, 579.0 - 1421.0
k$_{600}$ power-law b,-,0.899, 0.773 - 1.077
Groundwater DIC,mM,0.43, 0.401 - 0.467
Wetland DIC,mM,0.487, 0.433 - 0.554
Groundwater $\delta^{13}$C-CO$_{2}$,‰,-25.14, -28.33 - -23.06
Wetland $\delta^{13}$C-CO$_{2}$,‰,-25.32, -29.24 - -21.53
Groundwater $^{222}$Rn,(Bq m$^{-3}$),576.0, 355.0 - 772.0
Groundwater pCO$_{2}$,(ppm),1767.0, 1283.0 - 2390.0
Wetland pCO$_{2}$,(ppm),2716.7, 1813.0 - 3819.0
Groundwater $\delta^{13}$C-DIC,‰,-15.89, -18.43 - -13.77
Wetland $\delta^{13}$C-DIC,‰,-17.11, -20.67 - -13.74
